$(OWNED)	(ЕСТЬ)
$Floating Quest Markers Distance	Дальность прорисовки меток
$FO1Benefit01	+ Доступ к сезонному абонементу
$FO1Benefit02	+ Закрытые приключения
$FO1Benefit03	+ Ежемесячные атомы
$FO1Benefit04	+ Палатка для выживания, ящик для разборки и коробка для боеприпасов
$FO1Benefit05	+ Личные миры
$FO1Benefit06	+ Броня рейнджера
$FO1Benefit07	+ И многое другое!
$FO1UnavailableInRegion	К сожалению, в вашем регионе нельзя оформить подписку Fallout 1st.
$Follow	Отметить как избранное
$Following	Перемещение в избранное...
$FOOD	ПИЩА
$Food	Пища
$Footsteps	Шаги
$Forward	Вперед
$Foundation	Поселенцы
$FoundationReputation	Репутация среди поселенцев
$FOV_Setting_Desc	Угол обзора:
$FOW_BOOL_FALSE	Выкл.
$FOW_BOOL_TRUE	Вкл.
$FOW_DEFAULTWORLD_ButchersDelight_NAME	Восторг мясника
$FOW_DEFAULTWORLD_ButchersDelight_DESCRIPTION	Разрывайте врагов в клочья, не беспокоясь о потраченных ОД на атаки в ближнем бою.
$FOW_DEFAULTWORLD_DwellerMustDie_NAME	Смерть жителям Убежища
$FOW_DEFAULTWORLD_DwellerMustDie_DESCRIPTION	Сражайтесь с самыми опасными врагами, каких вам только доводилось встречать.
$FOW_DEFAULTWORLD_HappyBuilder_NAME	Веселый строитель
$FOW_DEFAULTWORLD_HappyBuilder_DESCRIPTION	Дайте волю воображению с безграничными возможностями для строительства C.A.M.P.
$FOW_DEFAULTWORLD_HighRisk_NAME	Большой риск
$FOW_DEFAULTWORLD_HighRisk_DESCRIPTION	Будьте настороже, иначе потеряете все.
$FOW_DEFAULTWORLD_QuantumWorld_NAME	Огромный мир
$FOW_DEFAULTWORLD_QuantumWorld_DESCRIPTION	Прыгайте выше и взгляните на ядерный мир другими глазами.
$FOW_Delete_Failed	Не удалось удалить мир.
$FOW_Delete_Failed_Missmatchname	Неверное название мира. Введите название мира, чтобы подтвердить удаление.
$FOW_Delete_Successful	Мир успешно удален.
$FOW_EDIT_DELETE	Введите название мира, чтобы удалить.
$FOW_FailedToListWorlds	Не удалось получить список миров.
$FOW_FailedToCreateNew	Не удалось создать новый мир.
$FOW_FailedToCreateNew_Profanity	Не удалось создать мир. Выберите допустимое название для своего мира.
$FOW_FailedToCreateNew_Invalid	Не удалось создать мир. Название мира не должно содержать особых символов. Попробуйте еще раз.
$FOW_FailedToCreateNew_TooMany	Вы создали максимально допустимое количество миров. Чтобы продолжать создавать миры, удалите часть уже существующих.
$FOW_FailedToGetWorldDetails	Не удалось получить сведения о мире.
$FOW_FailedToUpdateBackgroundImage	Не удалось обновить фоновое изображение.
$FOW_FailedToUpdateBackgroundImage_Profanity	Не удалось обновить фоновое изображение. Убедитесь, что название и описание соответствуют требованиям.
$FOW_FailedToUpdateName	Не удалось обновить название мира.
$FOW_FailedToUpdateName_Profanity	Не удалось обновить мир. Выберите допустимое название для своего мира.
$FOW_FailedToUpdateName_Invalid	Не удалось обновить мир. Название мира не должно содержать особых символов. Попробуйте еще раз.
$FOW_FailedToUpdateDescription	Не удалось обновить описание мира.
$FOW_FailedToUpdateDescription_Profanity	Не удалось обновить мир. Выберите допустимое описание для своего мира.
$FOW_FailedToUpdateDescription_Invalid	Не удалось обновить мир. Описание мира не должно содержать особых символов. Попробуйте еще раз.
$FOW_FailedToUpdateSettings	Не удалось обновить настройки мира.
$FOW_FailedToUpdateSettings_Profanity	Не удалось обновить мир. Убедитесь, что название и описание соответствуют требованиям.
$FOW_PrivateWorldDisabled	Не удалось создать личный мир. Сейчас личные миры отключены.
$FOWSetting_Category_Combat	Бой
$FOWSetting_Category_General	Общие
$FOWSetting_Category_Workshop	Мастерская
$FOWSetting_EnumValue_DeathDropLoot_Default	Выкл.
$FOWSetting_EnumValue_DeathDropLoot_DropAdditional	Вкл.
$FOWSetting_EnumValue_FOWBestBuildsPopulation_Enabled	ВКЛ
$FOWSetting_EnumValue_FOWBestBuildsPopulation_Disabled	ВЫКЛ
$FOWSetting_EnumValue_FOWBuildingRules_Default	Выкл.
$FOWSetting_EnumValue_FOWBuildingRules_Relaxed	Вкл.
$FOWSetting_EnumValue_FOWCampAreas_Default	По умолчанию
$FOWSetting_EnumValue_FOWCampAreas_RelaxRestrictions	Большинство локаций разрешено
$FOWSetting_EnumValue_FOWCampAreas_AllowRestricted	Все локации разрешены
$FOWSetting_EnumValue_FOWCarryWeight_Default	По умолчанию
$FOWSetting_EnumValue_FOWCarryWeight_50	50
$FOWSetting_EnumValue_FOWCarryWeight_100	100
$FOWSetting_EnumValue_FOWCarryWeight_150	150
$FOWSetting_EnumValue_FOWCarryWeight_200	200
$FOWSetting_EnumValue_FOWCarryWeight_250	250
$FOWSetting_EnumValue_FOWCarryWeight_300	300
$FOWSetting_EnumValue_FOWCarryWeight_350	350
$FOWSetting_EnumValue_FOWCarryWeight_400	400
$FOWSetting_EnumValue_FOWCarryWeight_450	450
$FOWSetting_EnumValue_FOWCarryWeight_500	500
$FOWSetting_EnumValue_FOWCarryWeight_550	550
$FOWSetting_EnumValue_FOWCarryWeight_600	600
$FOWSetting_EnumValue_FOWCarryWeight_650	650
$FOWSetting_EnumValue_FOWCarryWeight_700	700
$FOWSetting_EnumValue_FOWCarryWeight_750	750
$FOWSetting_EnumValue_FOWCarryWeight_800	800
$FOWSetting_EnumValue_FOWCarryWeight_850	850
$FOWSetting_EnumValue_FOWCarryWeight_900	900
$FOWSetting_EnumValue_FOWCarryWeight_950	950
$FOWSetting_EnumValue_FOWCarryWeight_Max	Макс. (999)
$FOWSetting_EnumValue_FOWCraftingCost_Default	Выкл.
$FOWSetting_EnumValue_FOWCraftingCost_Free	Вкл.
$FOWSetting_EnumValue_FOWDismemberment_Default	По умолчанию
$FOWSetting_EnumValue_FOWDismemberment_BloodyMess	Частая "Кровавая баня"
$FOWSetting_EnumValue_FOWDismemberment_Confetti	Частое "Конфетти"
$FOWSetting_EnumValue_FOWFastTravel_Disabled	Отключено
$FOWSetting_EnumValue_FOWFastTravel_Default	По умолчанию
$FOWSetting_EnumValue_FOWFastTravel_Free	Бесплатно
$FOWSetting_EnumValue_FOWFloatRange_High	Высоко
$FOWSetting_EnumValue_FOWFloatRange_ExtremelyLow	Чрезвычайно низко
$FOWSetting_EnumValue_FOWFloatRange_Low	Низко
$FOWSetting_EnumValue_FOWFloatRange_Normal	По умолчанию
$FOWSetting_EnumValue_FOWFloatRange_Nuclear	Ядерная высота
$FOWSetting_EnumValue_FOWFloatRange_VeryHigh	Очень высоко
$FOWSetting_EnumValue_FOWFloatRange_VeryLow	Очень низко
$FOWSetting_EnumValue_FOWFloatRange_Zero	Ноль
$FOWSetting_EnumValue_FOWFloatRange_ExtremelyLow_Speed	Чрезвычайно медленно
$FOWSetting_EnumValue_FOWFloatRange_VeryLow_Speed	Очень медленно
$FOWSetting_EnumValue_FOWFloatRange_Low_Speed	Медленно
$FOWSetting_EnumValue_FOWFloatRange_Normal_Speed	По умолчанию
$FOWSetting_EnumValue_FOWFloatRange_Nuclear_Speed	Ядерная скорость
$FOWSetting_EnumValue_FOWFloatRange_High_Speed	Быстро
$FOWSetting_EnumValue_FOWFloatRange_VeryHigh_Speed	Очень быстро
$FOWSetting_EnumValue_FOWFloatRange_Zero_Speed	Отключено
$FOWSetting_EnumValue_FOWInfiniteAmmo_Disabled	Выкл.
$FOWSetting_EnumValue_FOWInfiniteAmmo_EndlessClips	Вкл.
$FOWSetting_EnumValue_FOWInfiniteAmmo_ForeverFire	Вкл. (без перезарядки)
$FOWSetting_EnumValue_FOWLegendaryEffects_Enabled	Вкл.
$FOWSetting_EnumValue_FOWLegendaryEffects_Disabled	Выкл.
$FOWSetting_EnumValue_FOWLocations_Default	По умолчанию
$FOWSetting_EnumValue_FOWLocations_UnlockAll	Открыть все
$FOWSetting_EnumValue_FOWNukedStatus_Default	Выкл.
$FOWSetting_EnumValue_FOWNukedStatus_Always	Вкл.
$FOWSetting_EnumValue_FOWPerkEffects_Default	По умолчанию
$FOWSetting_EnumValue_FOWPerkEffects_StandardOnly	Только обычные способности
$FOWSetting_EnumValue_FOWPerkEffects_LegendaryOnly	Только легендарные способности
$FOWSetting_EnumValue_FOWPerkEffects_Disabled	Откл. все способности
$FOWSetting_EnumValue_FOWPersonalEWS_Disabled	Выкл.
$FOWSetting_EnumValue_FOWPersonalEWS_Enabled	Вкл.
$FOWSetting_EnumValue_FOWVats_Enabled	Вкл.
$FOWSetting_EnumValue_FOWVats_Disabled	Выкл.
$FOWSetting_EnumValue_FOWVats_DisabledOnPlayers	Откл. в боях с игроками
$FOWSetting_EnumValue_FOWWorkshopBuildMode_Default	Выкл.
$FOWSetting_EnumValue_FOWWorkshopBuildMode_ZeroCost	Вкл.
$FOWSetting_EnumValue_FOWObjectIntersection_Default	По умолчанию
$FOWSetting_EnumValue_FOWObjectIntersection_Allowed	Вкл.
$FOWSetting_EnumValue_FOWObjectIntersection_AllowedNoCollision	Вкл. (без столкновений)
$FOWSetting_EnumValue_FOWWorkshopPowered_Default	По умолчанию
$FOWSetting_EnumValue_FOWWorkshopPowered_Always	Всегда работает
$FOWSetting_EnumValue_FOW_VisualFilter_None	Нет
$FOWSetting_EnumValue_FOW_VisualFilter_BlackAndWhite	Черно-белая
$FOWSetting_EnumValue_FOW_VisualFilter_Enhance	Улучшенная
$FOWSetting_EnumValue_FOW_VisualFilter_Feral	Мрачная
$FOWSetting_EnumValue_FOW_VisualFilter_Sepia	Сепия
$FOWSetting_EnumValue_FOW_VisualFilter_SugarBomb	Сахарная бомба
$FOWSetting_EnumValue_FOW_Weather_Clear	Ясное небо
$FOWSetting_EnumValue_FOW_Weather_Default	По умолчанию
$FOWSetting_EnumValue_FOW_Weather_Foggy	Туман
$FOWSetting_EnumValue_FOW_Weather_Misty	Дымка
$FOWSetting_EnumValue_FOW_Weather_MistyRainy	Моросящий дождь
$FOWSetting_EnumValue_FOW_Weather_Overcast	Пасмурная погода
$FOWSetting_EnumValue_FOW_Weather_RadStorm	Радиоактивная буря
$FOWSetting_EnumValue_FOW_Weather_Rain	Дождь
$FOWSetting_EnumValue_FOW_Weather_Ashstorm	Пепельная буря
$FOWSetting_EnumValue_FOW_Weather_Nuke	Ядерный взрыв
$FOWSetting_EnumValue_FOW_Weather_Sear	Жара
$FOWSetting_EnumValue_FOW_Weather_Swamp	Болото
$FOWSetting_EnumValue_FOW_Weather_QuantumStorm	Сильная буря
$FOWSetting_EnumValue_FOW_Weather_DarkBog	Темное болото
